referrer,views_total,views_unique
Google,1374,577
github.com,787,234
bambuddy.cool,653,236
wiki.bambuddy.cool,370,115
DuckDuckGo,99,47
search.brave.com,75,27
yandex.ru,67,12
hackaday.com,64,20
facebook.com,63,45
chatgpt.com,63,31
