url_path,views_total,views_unique
/maziggy/bambuddy,3757,1988
/maziggy/bambuddy/issues,923,296
/maziggy/bambuddy/releases,580,347
/maziggy/bambuddy/pulls,298,149
/maziggy/bambuddy/releases/tag/v1.2.5,214,161
/maziggy/bambuddy/releases/tag/v1.2.5.1,181,155
/maziggy/bambuddy/pull/2666,162,130
/maziggy/bambuddy/releases/tag/v1.2.5.2,147,120
/maziggy/bambuddy/blob/main/docker-compose.yml,121,81
/maziggy/bambuddy/blob/main/slicer-api/README.md,94,56
