referrer,views_total,views_unique
Google,1422,577
github.com,812,240
bambuddy.cool,647,240
wiki.bambuddy.cool,366,113
DuckDuckGo,101,46
search.brave.com,81,29
chatgpt.com,65,34
facebook.com,63,45
hackaday.com,59,19
lm.facebook.com,54,41
