referrer,views_total,views_unique
Google,1397,573
github.com,791,243
bambuddy.cool,688,272
wiki.bambuddy.cool,378,121
DuckDuckGo,94,43
search.brave.com,92,33
Bing,72,35
chatgpt.com,63,30
facebook.com,51,39
lm.facebook.com,51,39
