referrer,views_total,views_unique
Google,1414,587
github.com,778,244
bambuddy.cool,655,255
wiki.bambuddy.cool,385,120
DuckDuckGo,106,44
search.brave.com,92,33
facebook.com,57,42
chatgpt.com,57,29
lm.facebook.com,53,40
hackaday.com,53,20
