referrer,views_total,views_unique
Google,1420,572
github.com,805,241
bambuddy.cool,639,242
wiki.bambuddy.cool,382,117
DuckDuckGo,100,46
search.brave.com,82,30
facebook.com,61,43
chatgpt.com,60,32
hackaday.com,57,20
lm.facebook.com,53,40
