time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-06 00:00:00+00:00,268,82,726,192
2026-08-07 00:00:00+00:00,300,69,517,203
2026-08-08 00:00:00+00:00,309,98,525,171
2026-08-09 00:00:00+00:00,160,86,406,160
2026-08-10 00:00:00+00:00,225,92,682,209
2026-08-11 00:00:00+00:00,153,73,645,214
2026-08-12 00:00:00+00:00,621,74,599,208
2026-08-13 00:00:00+00:00,1018,88,668,224
2026-08-14 00:00:00+00:00,352,66,576,210
2026-08-15 00:00:00+00:00,7596,6402,652,220
2026-08-16 00:00:00+00:00,782,91,634,209
2026-08-17 00:00:00+00:00,8620,58,712,244
2026-08-18 00:00:00+00:00,174,52,694,265
2026-08-19 00:00:00+00:00,141,56,676,299
