referrer,views_total,views_unique
Google,1411,581
github.com,798,247
bambuddy.cool,621,244
wiki.bambuddy.cool,414,119
DuckDuckGo,103,47
search.brave.com,87,33
chatgpt.com,59,31
facebook.com,57,42
hackaday.com,54,19
lm.facebook.com,53,40
